92906 测试脚本驱动_测试脚本驱动：已导入的函数库：Public、LoginAndQuit、Element、Repository、Log、ItemSelection、Dialog、Browser、PopBox、Recovery、DataTable
92906 测试脚本驱动_测试脚本驱动：案例路径：C:\Users\922004\Desktop\孙洪斌\学习文档集\信贷项目/03.导入案例/信用速贷流程.xlsx
92906 测试脚本驱动_测试脚本驱动：公共脚本路径：C:\Users\922004\Desktop\孙洪斌\学习文档集\信贷项目/02.公共脚本/信用速贷（build）
92906 测试脚本驱动_测试脚本驱动：执行第1条：经营类标准信用速贷
92906 测试脚本驱动_测试脚本驱动：脚本路径：C:\Users\922004\Desktop\孙洪斌\学习文档集\信贷项目/01.测试脚本/信用速贷业务/经营类标准信用速贷
94219 测试脚本驱动_5.3、风险参数 [信用速贷（build）] [2]：调用函数Element_Relation()定位对象，关联对象名称：核定贷款金额
94219 测试脚本驱动_5.3、风险参数 [信用速贷（build）] [2]：核定贷款金额60,000.00小于申请金额200000，需要手工评定才能通过！
94258 测试脚本驱动_5.4、意见处理和提交 [信用速贷（build）] [2]：调用函数Element()，对象名称：审批意见处理
94258 测试脚本驱动_5.4、意见处理和提交 [信用速贷（build）] [2]：调用函数Dialog_Handle()，弹窗操作：确定
94304 测试脚本驱动_5.4、意见处理和提交 [信用速贷（build）] [2]：调用函数Dialog_Handlet()，无弹框！
94304 测试脚本驱动_5.4、意见处理和提交 [信用速贷（build）] [2]：调用函数Element_Relation()定位对象，关联对象名称：审批结果
94304 测试脚本驱动_5.4、意见处理和提交 [信用速贷（build）] [2]：调用函数Element_Relation()定位对象，关联对象名称：审批意见(限2000个汉字)
94305 测试脚本驱动_5.4、意见处理和提交 [信用速贷（build）] [2]：调用函数Element()，对象名称：保存
94306 测试脚本驱动_5.4、意见处理和提交 [信用速贷（build）] [2]：调用函数Element()，对象名称：提交
94313 测试脚本驱动_5.4、意见处理和提交 [信用速贷（build）] [2]：自动风险预警信息：1、申请客户3个月内有被否决的贷款！ 
94317 测试脚本驱动_5.4、意见处理和提交 [信用速贷（build）] [2]：调用函数Element()，对象名称：提 交
94320 测试脚本驱动_5.4、意见处理和提交 [信用速贷（build）] [2]：调用函数Dialog_Handle()，弹窗操作：确定
94320 测试脚本驱动_5.4、意见处理和提交 [信用速贷（build）] [2]：下一阶段: 贷款审批

 确定提交吗？
94322 测试脚本驱动_5.4、意见处理和提交 [信用速贷（build）] [2]：调用函数Dialog_Handle()，弹窗操作：确定
94323 测试脚本驱动_5.4、意见处理和提交 [信用速贷（build）] [2]：成功提交到贷款审批!
94337 测试脚本驱动_经营类标准信用速贷 [经营类标准信用速贷]：运行结束：征信调查阶段
94337 测试脚本驱动_经营类标准信用速贷 [经营类标准信用速贷]：开始运行：审批阶段
94340 测试脚本驱动_4、调整处理人 [信用速贷（build）]：调用函数Element()，对象名称：审批授权模型维度管理
94340 测试脚本驱动_4、调整处理人 [信用速贷（build）]：调用函数Element()，对象名称：审批授权模型维度管理
94342 测试脚本驱动_4、调整处理人 [信用速贷（build）]：调用函数Element()，对象名称：查询条件
94343 测试脚本驱动_4、调整处理人 [信用速贷（build）]：调用函数Element_Relation_1()定位对象，关联对象名称：业务品种
94345 测试脚本驱动_4、调整处理人 [信用速贷（build）]：调用函数Element()，对象名称：查询
94346 测试脚本驱动_4、调整处理人 [信用速贷（build）]：调用函数Element()，对象名称：信用速贷业务进度查询
94346 测试脚本驱动_4、调整处理人 [信用速贷（build）]：调用函数Element()，对象名称：在办申请业务
94347 测试脚本驱动_4、调整处理人 [信用速贷（build）]：调用函数Element()，对象名称：查询条件
94348 测试脚本驱动_4、调整处理人 [信用速贷（build）]：调用函数Element_Relation_1()定位对象，关联对象名称：申请编号
94350 测试脚本驱动_4、调整处理人 [信用速贷（build）]：调用函数Element()，对象名称：查询
94350 测试脚本驱动_4、调整处理人 [信用速贷（build）]：调用函数Element()，对象名称：UPL2019030100000002
94351 测试脚本驱动_4、调整处理人 [信用速贷（build）]：调用函数Element()，对象名称：任务调整
94354 测试脚本驱动_4、调整处理人 [信用速贷（build）]：调用函数FindSelection()查询选择！
94400 测试脚本驱动_4、调整处理人 [信用速贷（build）]：调用函数Dialog_Handle()，弹窗操作：确定
94401 测试脚本驱动_4、调整处理人 [信用速贷（build）]：任务调整成功
94415 测试脚本驱动_6.1、选择处理任务 [信用速贷（build）] [2]：调用函数Element()，对象名称：信用速贷贷款审批
94415 测试脚本驱动_6.1、选择处理任务 [信用速贷（build）] [2]：调用函数Element()，对象名称：查询条件
94420 测试脚本驱动_6.1、选择处理任务 [信用速贷（build）] [2]：调用函数Element_Relation_1()定位对象，关联对象名称：申请编号
94421 测试脚本驱动_6.1、选择处理任务 [信用速贷（build）] [2]：调用函数Element()，对象名称：查询
94422 测试脚本驱动_6.1、选择处理任务 [信用速贷（build）] [2]：调用函数Element()，对象名称：UPL2019030100000002
94426 测试脚本驱动_6.1、选择处理任务 [信用速贷（build）] [2]：调用函数Element()，对象名称：处理
94429 测试脚本驱动_6.1、选择处理任务 [信用速贷（build）] [2]：调用函数Dialog_Handle()，弹窗操作：是\(&Y\)
94433 测试脚本驱动_6.1、选择处理任务 [信用速贷（build）] [2]：在此页上的 ActiveX 控件和本页上的其他部份的交互可能不安全。您想允许这种交互吗?
94437 测试脚本驱动_6.2、意见处理和提交 [信用速贷（build）] [2]：调用函数Element()，对象名称：审批意见处理
94437 测试脚本驱动_6.2、意见处理和提交 [信用速贷（build）] [2]：调用函数Dialog_Handle()，弹窗操作：确定
94443 测试脚本驱动_6.2、意见处理和提交 [信用速贷（build）] [2]：调用函数Dialog_Handlet()，无弹框！
94443 测试脚本驱动_6.2、意见处理和提交 [信用速贷（build）] [2]：调用函数Element_Relation()定位对象，关联对象名称：审批结果
94443 测试脚本驱动_6.2、意见处理和提交 [信用速贷（build）] [2]：调用函数Element_Relation()定位对象，关联对象名称：审批意见(限2000个汉字)
94444 测试脚本驱动_6.2、意见处理和提交 [信用速贷（build）] [2]：调用函数Element()，对象名称：保存
94445 测试脚本驱动_6.2、意见处理和提交 [信用速贷（build）] [2]：调用函数Element()，对象名称：提交
94828 信用速贷（build）_3.3.1、客户详情：调用函数Element_Relation()定位对象，关联对象名称：核心客户号
94830 信用速贷（build）_3.3.1、客户详情：调用函数Element_Relation()定位对象，关联对象名称：核心客户号
95531 信用速贷（build）_3.3.1、客户详情：调用函数Element()，对象名称：更新核心客户编号
100159 信用速贷（build）_5.3、风险参数：调用函数Element()，对象名称：风险参数
100204 信用速贷（build）_5.3、风险参数：调用函数Dialog_Handle()，弹窗操作：确定
100204 信用速贷（build）_5.3、风险参数：在此页上的 ActiveX 控件和本页上的其他部份的交互可能不安全。您想允许这种交互吗?
100354 信用速贷（build）_5.3、风险参数：调用函数Element()，对象名称：风险参数
100355 信用速贷（build）_5.3、风险参数：调用函数Dialog_Handle()，弹窗操作：确定
100359 信用速贷（build）_5.3、风险参数：调用函数Dialog_Handlet()，无弹框！
100400 信用速贷（build）_5.3、风险参数：调用函数Element()，对象名称：贷款方案编码
100412 信用速贷（build）_5.3、风险参数：调用函数Element()，对象名称：评分模型计算
100433 信用速贷（build）_5.3、风险参数：调用函数Dialog_Handle()，弹窗操作：确定
100433 信用速贷（build）_5.3、风险参数：评分卡风险计算成功!!并行处理结果:成功
100435 信用速贷（build）_5.3、风险参数：调用函数Element_Relation()定位对象，关联对象名称：核定贷款金额
100450 信用速贷（build）_5.3、风险参数：调用函数Element_Relation()定位对象，关联对象名称：核定贷款金额
100452 信用速贷（build）_5.3、风险参数：调用函数Element_Relation()定位对象，关联对象名称：核定贷款金额
100728 信用速贷（build）_5.3、风险参数：调用函数Element()，对象名称：风险参数
100732 信用速贷（build）_5.3、风险参数：调用函数Dialog_Handle()，弹窗操作：确定
100735 信用速贷（build）_5.3、风险参数：调用函数Dialog_Handlet()，无弹框！
100736 信用速贷（build）_5.3、风险参数：调用函数Element()，对象名称：贷款方案编码
100749 信用速贷（build）_5.3、风险参数：调用函数Element()，对象名称：评分模型计算
100809 信用速贷（build）_5.3、风险参数：调用函数Dialog_Handle()，弹窗操作：确定
100810 信用速贷（build）_5.3、风险参数：评分卡风险计算成功!!并行处理结果:成功
100814 信用速贷（build）_5.3、风险参数：调用函数Element_Relation()定位对象，关联对象名称：核定贷款金额
100816 信用速贷（build）_5.3、风险参数：调用函数Element_Relation()定位对象，关联对象名称：核定贷款金额
